stationID,latitude,longitude,facilityCarWashing,facilityRepair,facilityStore,facilityToilet,hasPremium,categoryStation,categoryRoad,roadToNorth,seqStation,typeOilSupply,noOiler,timeOpening,timeClosing,name,description,tel,fax,address,serviceAdded,poll,gas,diesel,lpg,premium,datetime
7,1970769,1128513,0,0,0,0,0,0,0,0,0,0,0,360,1440,무지개,강릉시내에서 정동진방향 10분거리 동해고속진입로 입구 좌측에 위치,033-645-4947,,강원도 강릉시 강동면 상시동리 21-3,,2,1387,1187,0,0,2020-07-06 00:00:00
9,1974591,1122642,1,0,0,0,0,0,0,0,0,1,0,360,1440,삼거리,강릉시청 별관 옆에 위치,033-646-0246,,강원도 강릉시 교동 810-11,,1,1346,1146,0,0,2020-07-07 00:00:00
10,1975549,1123296,0,0,0,0,0,0,0,0,0,0,0,360,1440,호진상사 안국,종합경기장에서 엠비씨 방송국쪽으로 좌측에 위치,033-653-6051,,강원도 강릉시 교동 26-31,,1,1450,1260,0,0,2020-07-07 00:00:00
11,1973832,1121872,0,0,0,0,0,0,0,0,0,0,0,360,1440,교동,신터미널에서시내방향100미터좌측에위치교동사거리에서고속도로인터체인지들어가는곳,033-642-5189,,강원도 강릉시 교동 942,,2,-1,-1,-1,-1,0
12,1968735,1124534,0,0,0,0,0,0,0,0,0,0,0,360,1440,봉화대,금강 레미콘 옆에 위치,033-648-9491,,강원도 강릉시 구정면 금광리 800-13,,1,1355,1155,0,0,2020-07-07 00:00:00
16,1980012,1119427,0,0,0,0,0,2,0,1,2,1,0,360,1440,사천현대,현대 병원앞 한국영농 자재 옆에 위치,033-645-5182,,강원도 강릉시 사천면 방동리 595,,3,1340,1140,0,0,2020-07-07 00:00:00
17,1982511,1118402,1,1,1,0,0,2,107,1,140,1,4,360,1320,북강릉IC,7번국도 강릉에서 주문진 사이 강릉공원묘원입구 앞에 위치,033-641-8002,,강원도 강릉시 사천면 판교리 681-2,,3,1348,1148,0,0,2020-07-07 00:00:00
18,1982815,1118298,0,0,0,0,0,2,107,1,982,0,0,360,1320,삼보,사천면사무소에서 주문진방향으로 3km 지점에 위치,033-644-1011,,강원도 강릉시 사천면 판교리 672-1,,4,1337,1137,0,0,2020-07-07 00:00:00
20,1969894,1117462,0,0,0,0,0,0,0,0,0,0,4,360,1440,용봉,영동고속도로 서울방향으로 대관령 초입에 위치,033-643-6666,,강원도 강릉시 성산면 구산리 99-4,,1,-1,-1,-1,-1,0
21,1969709,1117452,0,0,1,0,1,2,135,1,25,0,0,360,1440,성산,성산면소재지성산초등학교앞에위치,033-641-9379,,강원도 강릉시 성산면 구산리 191-4,,18,1320,1130,0,2000,2020-07-07 00:00:00
